cimento,fck,fcj,ac,slump,dmax,agua,consumo_cimento,consumo_brita,consumo_areia,ar_incorporado,teor_argamassa
CP II 32,10,16.6,0.68,70,9.5,160,235,893,1103.2,2,60
CP II 32,10,16.6,0.68,80,9.5,165,243,887,1089,2,60
CP II 32,10,16.6,0.68,90,9.5,170,250,883,1073.73,2,60
CP II 32,10,16.6,0.68,100,9.5,175,257,877.67,1059.75,2,60
CP II 32,10,16.6,0.68,110,9.5,180,265,872.67,1044.59,2,60
CP II 32,10,16.6,0.68,120,9.5,185,272,867.67,1030.28,2,60
CP II 32,10,16.6,0.68,130,9.5,190,279,862.67,1015.98,2,60
CP II 32,10,16.6,0.68,140,9.5,195,287,857.67,1000.82,2,60
CP II 32,10,16.6,0.68,70,12.5,148,217,905,1138.55,2,60
CP II 32,10,16.6,0.68,80,12.5,155,228,898,1117.5,2,60
CP II 32,10,16.6,0.68,90,12.5,161,236,891,1101.63,2,60
CP II 32,10,16.6,0.68,100,12.5,167,245,886,1083,2,60
CP II 32,10,16.6,0.68,110,12.5,173,254,879,1066.28,2,60
CP II 32,10,16.6,0.68,120,12.5,180,264,872,1046.08,2,60
CP II 32,10,16.6,0.68,130,12.5,186,273,866,1028.4,2,60
CP II 32,10,16.6,0.68,140,12.5,192,282,862,1008.81,2,60
CP II 32,10,16.6,0.68,70,19,142,209,910,1156.34,2,60
CP II 32,10,16.6,0.68,80,19,149,219,904,1135.18,2,60
CP II 32,10,16.6,0.68,90,19,156,229,896,1115.94,2,60
CP II 32,10,16.6,0.68,100,19,163,240,889.33,1094.57,2,60
CP II 32,10,16.6,0.68,110,19,169,249,884,1076.26,2,60
CP II 32,10,16.6,0.68,120,19,176,259,877,1056.06,2,60
CP II 32,10,16.6,0.68,130,19,183,269,870,1035.86,2,60
CP II 32,10,16.6,0.68,140,19,190,279,863,1015.66,2,60
CP II 32,10,16.6,0.68,70,25,133,196,920,1181.47,2,60
CP II 32,10,16.6,0.68,80,25,140,206,912,1162.23,2,60
CP II 32,10,16.6,0.68,90,25,148,218,904,1138.66,2,60
CP II 32,10,16.6,0.68,100,25,155,228,898,1117.5,2,60
CP II 32,10,16.6,0.68,110,25,163,240,890,1093.93,2,60
CP II 32,10,16.6,0.68,120,25,170,250,882,1074.69,2,60
CP II 32,10,16.6,0.68,130,25,178,262,874,1051.12,2,60
CP II 32,10,16.6,0.68,140,25,185,272,868,1029.97,2,60
CP II 32,10,16.6,0.68,70,9.5,160,235,915,1082.16,2,59
CP II 32,10,16.6,0.68,80,9.5,165,243,910,1067,2,59
CP II 32,10,16.6,0.68,90,9.5,170,250,905,1052.69,2,59
CP II 32,10,16.6,0.68,100,9.5,175,257,900,1038.39,2,59
CP II 32,10,16.6,0.68,110,9.5,180,265,895,1023.23,2,59
CP II 32,10,16.6,0.68,120,9.5,185,272,890,1008.93,2,59
CP II 32,10,16.6,0.68,130,9.5,190,279,885,994.62,2,59
CP II 32,10,16.6,0.68,140,9.5,195,287,880,979.46,2,59
CP II 32,10,16.6,0.68,70,12.5,148,217,928,1116.55,2,59
CP II 32,10,16.6,0.68,80,12.5,155,228,920,1096.46,2,59
CP II 32,10,16.6,0.68,90,12.5,161,236,914,1079.63,2,59
CP II 32,10,16.6,0.68,100,12.5,167,245,909,1061,2,59
CP II 32,10,16.6,0.68,110,12.5,173,254,902,1044.28,2,59
CP II 32,10,16.6,0.68,120,12.5,180,264,896,1023.12,2,59
CP II 32,10,16.6,0.68,130,12.5,186,273,888,1007.36,2,59
CP II 32,10,16.6,0.68,140,12.5,192,282,882,989.68,2,59
CP II 32,10,16.6,0.68,70,19,142,209,934,1133.38,2,59
CP II 32,10,16.6,0.68,80,19,149,219,926,1114.14,2,59
CP II 32,10,16.6,0.68,90,19,156,229,920,1092.98,2,59
CP II 32,10,16.6,0.68,100,19,163,240,912.67,1072.26,2,59
CP II 32,10,16.6,0.68,110,19,169,249,905.67,1055.53,2,59
CP II 32,10,16.6,0.68,120,19,176,259,898.67,1035.34,2,59
CP II 32,10,16.6,0.68,130,19,183,269,891.67,1015.14,2,59
CP II 32,10,16.6,0.68,140,19,190,279,884.67,994.94,2,59
CP II 32,10,16.6,0.68,70,25,133,196,942,1160.43,2,59
CP II 32,10,16.6,0.68,80,25,140,206,936,1139.28,2,59
CP II 32,10,16.6,0.68,90,25,148,218,928,1115.71,2,59
CP II 32,10,16.6,0.68,100,25,155,228,921.33,1095.19,2,59
CP II 32,10,16.6,0.68,110,25,163,240,913,1071.94,2,59
CP II 32,10,16.6,0.68,120,25,170,250,905,1052.69,2,59
CP II 32,10,16.6,0.68,130,25,178,262,898,1028.17,2,59
CP II 32,10,16.6,0.68,140,25,185,272,890,1008.93,2,59
CP II 32,10,16.6,0.68,70,9.5,160,235,938,1060.16,2,58
CP II 32,10,16.6,0.68,80,9.5,165,243,932,1045.96,2,58
CP II 32,10,16.6,0.68,90,9.5,170,250,928,1030.7,2,58
CP II 32,10,16.6,0.68,100,9.5,175,257,922.67,1016.71,2,58
CP II 32,10,16.6,0.68,110,9.5,180,265,917.67,1001.55,2,58
CP II 32,10,16.6,0.68,120,9.5,185,272,912.67,987.25,2,58
CP II 32,10,16.6,0.68,130,9.5,190,279,907.67,972.94,2,58
CP II 32,10,16.6,0.68,140,9.5,195,287,902.67,957.79,2,58
CP II 32,10,16.6,0.68,70,12.5,148,217,951,1094.56,2,58
CP II 32,10,16.6,0.68,80,12.5,155,228,942,1075.42,2,58
CP II 32,10,16.6,0.68,90,12.5,161,236,936,1058.59,2,58
CP II 32,10,16.6,0.68,100,12.5,167,245,930,1040.92,2,58
CP II 32,10,16.6,0.68,110,12.5,173,254,924,1023.24,2,58
CP II 32,10,16.6,0.68,120,12.5,180,264,917,1003.04,2,58
CP II 32,10,16.6,0.68,130,12.5,186,273,912,984.41,2,58
CP II 32,10,16.6,0.68,140,12.5,192,282,905,967.69,2,58
CP II 32,10,16.6,0.68,70,19,142,209,957,1111.39,2,58
CP II 32,10,16.6,0.68,80,19,149,219,950,1091.19,2,58
CP II 32,10,16.6,0.68,90,19,156,229,942,1071.94,2,58
CP II 32,10,16.6,0.68,100,19,163,240,934.67,1051.22,2,58
CP II 32,10,16.6,0.68,110,19,169,249,929,1033.22,2,58
CP II 32,10,16.6,0.68,120,19,176,259,922,1013.02,2,58
CP II 32,10,16.6,0.68,130,19,183,269,914,993.78,2,58
CP II 32,10,16.6,0.68,140,19,190,279,907,973.58,2,58
CP II 32,10,16.6,0.68,70,25,133,196,965,1138.44,2,58
CP II 32,10,16.6,0.68,80,25,140,206,958,1118.24,2,58
CP II 32,10,16.6,0.68,90,25,148,218,950,1094.67,2,58
CP II 32,10,16.6,0.68,100,25,155,228,942.67,1074.79,2,58
CP II 32,10,16.6,0.68,110,25,163,240,935.17,1050.74,2,58
CP II 32,10,16.6,0.68,120,25,170,250,927.67,1031.02,2,58
CP II 32,10,16.6,0.68,130,25,178,262,920.17,1006.97,2,58
CP II 32,10,16.6,0.68,140,25,185,272,912.67,987.25,2,58
CP II 32,10,16.6,0.68,70,9.5,160,235,961,1038.16,2,57
CP II 32,10,16.6,0.68,80,9.5,165,243,955,1023.96,2,57
CP II 32,10,16.6,0.68,90,9.5,170,250,950,1009.66,2,57
CP II 32,10,16.6,0.68,100,9.5,175,257,944.33,995.99,2,57
CP II 32,10,16.6,0.68,110,9.5,180,265,938.83,981.31,2,57
CP II 32,10,16.6,0.68,120,9.5,185,272,933.33,967.48,2,57
CP II 32,10,16.6,0.68,130,9.5,190,279,930,951.58,2,57
CP II 32,10,16.6,0.68,140,9.5,195,287,924,937.38,2,57
CP II 32,10,16.6,0.68,70,12.5,148,217,973,1073.52,2,57
CP II 32,10,16.6,0.68,80,12.5,155,228,967,1051.51,2,57
CP II 32,10,16.6,0.68,90,12.5,161,236,960,1035.64,2,57
CP II 32,10,16.6,0.68,100,12.5,167,245,953.67,1018.28,2,57
CP II 32,10,16.6,0.68,110,12.5,173,254,947.17,1001.08,2,57
CP II 32,10,16.6,0.68,120,12.5,180,264,940.67,980.41,2,57
CP II 32,10,16.6,0.68,130,12.5,186,273,934.17,963.21,2,57
CP II 32,10,16.6,0.68,140,12.5,192,282,927.67,946.01,2,57
CP II 32,10,16.6,0.68,70,19,142,209,980,1089.39,2,57
CP II 32,10,16.6,0.68,80,19,149,219,973,1069.19,2,57
CP II 32,10,16.6,0.68,90,19,156,229,965,1049.95,2,57
CP II 32,10,16.6,0.68,100,19,163,240,957.67,1029.22,2,57
CP II 32,10,16.6,0.68,110,19,169,249,950.17,1012.98,2,57
CP II 32,10,16.6,0.68,120,19,176,259,944,991.98,2,57
CP II 32,10,16.6,0.68,130,19,183,269,937,971.78,2,57
CP II 32,10,16.6,0.68,140,19,190,279,930,951.58,2,57
CP II 32,10,16.6,0.68,70,25,133,196,990,1114.53,2,57
CP II 32,10,16.6,0.68,80,25,140,206,982,1095.28,2,57
CP II 32,10,16.6,0.68,90,25,148,218,974,1071.71,2,57
CP II 32,10,16.6,0.68,100,25,155,228,966,1052.47,2,57
CP II 32,10,16.6,0.68,110,25,163,240,958,1028.9,2,57
CP II 32,10,16.6,0.68,120,25,170,250,950,1009.66,2,57
CP II 32,10,16.6,0.68,130,25,178,262,942,986.09,2,57
CP II 32,10,16.6,0.68,140,25,185,272,934,966.85,2,57
CP II 32,10,16.6,0.68,70,9.5,160,235,984,1016.17,2,56
CP II 32,10,16.6,0.68,80,9.5,165,243,977,1002.92,2,56
CP II 32,10,16.6,0.68,90,9.5,170,250,972,988.62,2,56
CP II 32,10,16.6,0.68,100,9.5,175,257,968,973.35,2,56
CP II 32,10,16.6,0.68,110,9.5,180,265,962,959.16,2,56
CP II 32,10,16.6,0.68,120,9.5,185,272,956,945.81,2,56
CP II 32,10,16.6,0.68,130,9.5,190,279,951,931.5,2,56
CP II 32,10,16.6,0.68,140,9.5,195,287,945,917.3,2,56
CP II 32,10,16.6,0.68,70,12.5,148,217,997,1050.57,2,56
