mu_areia,me_brita,mu_brita,me_areia,me_cimento
1400,2600,1400,2450,2900
1410,2610,1410,2460,2950
1420,2620,1420,2470,3000
1430,2630,1430,2480,3050
1440,2640,1440,2490,3100
1450,2650,1450,2500,3150
1460,2660,1460,2510,3200
1470,2670,1470,2520,
1480,2680,1480,2530,
1490,2690,1490,2540,
1500,2700,1500,2550,
1510,2710,1510,2560,
1520,2720,1520,2570,
1530,2730,1530,2580,
1540,2740,1540,2590,
1550,2750,1550,2600,
1560,2760,1560,2610,
1570,2770,1570,2620,
1580,2780,1580,2630,
1590,2790,1590,2640,
1600,2800,1600,2650,
1610,2810,1610,2660,
1620,2820,1620,2670,
1630,2830,1630,2680,
1640,2840,1640,2690,
1650,2850,1650,2700,
1660,2860,1660,2710,
1670,2870,1670,2720,
1680,2880,1680,2730,
1690,2890,1690,2740,
1700,2900,1700,2750,
,2910,,,
,2920,,,
,2930,,,
,2940,,,
,2950,,,
,2960,,,
,2970,,,
,2980,,,
,2990,,,
,3000,,,
